sample	wall_ns	service	config	pid	tid	thread_name	pool	runtime_ns	wait_ns	timeslices	affinity	current_cpu
0	1789479137117764864	UserInfoManager	/opt/foros/server/etc/targetrtb/adcluster/adfe102/UserInfoManagerConfig.xml	51013	51102	uim-grpc-p:c29	uim-grpc-p	13135676311027	29848896011102	159509279	29	29
0	1789479137117764864	UserInfoManager	/opt/foros/server/etc/targetrtb/adcluster/adfe102/UserInfoManagerConfig.xml	51013	51103	uim-grpc-p:c30	uim-grpc-p	15544457179624	30215333887015	175632871	30	30
0	1789479137117764864	UserInfoManager	/opt/foros/server/etc/targetrtb/adcluster/adfe102/UserInfoManagerConfig.xml	51013	51104	uim-grpc-p:c31	uim-grpc-p	17504103945206	35078379823018	160297581	31	31
0	1789479137117764864	UserInfoManager	/opt/foros/server/etc/targetrtb/adcluster/adfe102/UserInfoManagerConfig.xml	51013	51105	uim-grpc-p:c26	uim-grpc-p	15692827806318	25017888018844	176254875	26	26
0	1789479137117764864	UserInfoManager	/opt/foros/server/etc/targetrtb/adcluster/adfe102/UserInfoManagerConfig.xml	51013	51106	grpc_global:c20	grpc_global	2721692572	80720225258	96068	20	20
0	1789479137117764864	UserInfoManager	/opt/foros/server/etc/targetrtb/adcluster/adfe102/UserInfoManagerConfig.xml	51013	51109	event_engin:c19	event_engin	1159208928367	13806490047003	43956490	19	19
0	1789479137117764864	UserInfoManager	/opt/foros/server/etc/targetrtb/adcluster/adfe102/UserInfoManagerConfig.xml	51013	51111	event_engin:c20	event_engin	1175820970276	12400086974356	45008284	20	20
0	1789479137117764864	UserInfoManager	/opt/foros/server/etc/targetrtb/adcluster/adfe102/UserInfoManagerConfig.xml	51013	51113	jemalloc_bg:c31	jemalloc_bg	332453910756	197223848400	155978	31	31
0	1789479137117764864	UserInfoManager	/opt/foros/server/etc/targetrtb/adcluster/adfe102/UserInfoManagerConfig.xml	51013	51114	event_engin:c21	event_engin	1143575616924	11779315398206	44035007	21	21
0	1789479137117764864	UserInfoManager	/opt/foros/server/etc/targetrtb/adcluster/adfe102/UserInfoManagerConfig.xml	51013	51115	jemalloc_bg:c32	jemalloc_bg	793543794529	303675396398	319727	32	32
0	1789479137117764864	UserInfoManager	/opt/foros/server/etc/targetrtb/adcluster/adfe102/UserInfoManagerConfig.xml	51013	51119	event_engin:c22	event_engin	1169932256347	11655203693550	43706016	22	22
0	1789479137117764864	UserInfoManager	/opt/foros/server/etc/targetrtb/adcluster/adfe102/UserInfoManagerConfig.xml	51013	51121	event_engin:c23	event_engin	1148222115380	11021509599904	44829619	23	23
