host,service,pool,pid,tid,thread_name,affinity,current_cpu,runtime_sec,wait_sec,elapsed_sec,cpu_pct,runqueue_wait_pct,runnable_pct
adfe100,ChannelServer,event_engine,17280,17325,event_engin:c63,63,63,10.694732894,88.283677815,600.004630784,1.7824417254956277,14.71383274153127,16.496274467026897
adfe100,ChannelServer,event_engine,17280,17326,event_engin:c64,64,64,11.96963652,79.769610509,600.004630784,1.9949240232295866,13.294832475670814,15.2897564989004
adfe100,ChannelServer,event_engine,17280,17327,event_engin:c65,65,65,11.394082259,71.104335778,600.004630784,1.898999053409279,11.850631166811338,13.749630220220618
adfe100,ChannelServer,event_engine,17280,17328,event_engin:c66,66,66,10.5775652,75.778928154,600.004630784,1.7629139272106542,12.629723883127863,14.392637810338515
adfe100,ChannelServer,event_engine,17280,17329,event_engin:c67,67,67,11.43737426,59.061846893,600.004630784,1.9062143312219573,9.843565176459796,11.749779507681755
adfe100,ChannelServer,event_engine,17280,17331,event_engin:c68,68,68,11.678065062,50.02126234,600.004630784,1.9463291552834816,8.33681271336846,10.283141868651942
adfe100,ChannelServer,event_engine,17280,17333,event_engin:c69,69,69,11.28862015,40.6017797,600.004630784,1.881422170900523,6.7669110564942505,8.648333227394774
adfe100,ChannelServer,event_engine,17280,17334,event_engin:c70,70,70,10.912995669,53.973261798,600.004630784,1.8188185739067484,8.995474206169956,10.814292780076705
adfe100,ChannelServer,event_engine,17280,17335,event_engin:c71,71,71,11.42958951,59.913008513,600.004630784,1.9049168829022955,9.985424351594466,11.890341234496761
adfe100,ChannelServer,event_engine,17280,17336,event_engin:c18,18,18,11.178297638,107.92549419,600.004630784,1.8630352274771287,17.987443538390437,19.850478765867567
adfe100,ChannelServer,event_engine,17280,17337,event_engin:c19,19,19,10.397063373,80.089277065,600.004630784,1.7328305215602433,13.348109823810995,15.080940345371237
adfe100,ChannelServer,event_engine,17280,17338,event_engin:c20,20,20,10.748601626,96.015470361,600.004630784,1.7914197782032564,16.002454886979915,17.79387466518317
adfe100,ChannelServer,fast-scheduler,17280,17300,fast-schedu:c28,28,28,0.0,0.0,600.004630784,0.0,0.0,0.0
adfe100,ChannelServer,grpc-server,17280,17341,grpc-server:c29,29,29,11.368735867,99.849656719,600.004630784,1.894774687346157,16.64148101465997,18.536255702006123
adfe100,ChannelServer,grpc-server,17280,17342,grpc-server:c30,30,30,11.870562337,104.97810523,600.004630784,1.9784117868372535,17.496215836339406,19.47462762317666
adfe100,ChannelServer,grpc-server,17280,17343,grpc-server:c31,31,31,11.065603377,80.510639157,600.004630784,1.84425299560456,13.41833629713828,15.26258929274284
adfe100,ChannelServer,grpc-server,17280,17344,grpc-server:c32,32,32,11.784800485,102.139959074,600.004630784,1.96411825515435,17.023195127767288,18.987313382921638
adfe100,ChannelServer,grpc-server,17280,17345,grpc-server:c33,33,33,25.905280692,114.375527687,600.004630784,4.3175134595462525,19.062440824423383,23.379954283969635
adfe100,ChannelServer,grpc-server,17280,17346,grpc-server:c34,34,34,27.003930321,124.46406897,600.004630784,4.500620317832404,20.743851394508106,25.24447171234051
adfe100,ChannelServer,grpc-server,17280,17347,grpc-server:c35,35,35,26.852169566,119.856396693,600.004630784,4.475327053878473,19.97591194194432,24.451238995822795
adfe100,ChannelServer,grpc-server,17280,17348,grpc-server:c54,54,54,31.182181466,154.419652203,600.004630784,5.196990134102065,25.736410067573402,30.933400201675465
adfe100,ChannelServer,grpc-server,17280,17349,grpc-server:c55,55,55,3.530255819,79.897353205,600.004630784,0.5883714287983358,13.316122760686296,13.904494189484632
adfe100,ChannelServer,grpc-server,17280,17350,grpc-server:c56,56,56,3.455877238,46.982337241,600.004630784,0.5759750943062482,7.830329105895436,8.406304200201685
adfe100,ChannelServer,grpc-server,17280,17351,grpc-server:c57,57,57,3.669959856,40.3844491,600.004630784,0.6116552552610507,6.730689569384055,7.342344824645106
adfe100,ChannelServer,grpc-server,17280,17352,grpc-server:c58,58,58,4.036864286,75.001306592,600.004630784,0.6728055216382588,12.500121289730556,13.172926811368816
adfe100,ChannelServer,grpc-server,17280,17353,grpc-server:c59,59,59,11.664683851,56.313556248,600.004630784,1.9440989706626537,9.38552027080483,11.329619241467483
adfe100,ChannelServer,grpc-server,17280,17354,grpc-server:c60,60,60,11.340957584,50.12327841,600.004630784,1.8901450092445558,8.353815260476589,10.243960269721143
adfe100,ChannelServer,grpc-server,17280,17355,grpc-server:c61,61,61,11.180826268,38.35412395,600.004630784,1.8634566625578373,6.3923046560297925,8.25576131858763
adfe100,ChannelServer,grpc-server,17280,17356,grpc-server:c62,62,62,11.509439034,55.75574121,600.004630784,1.9182250341903389,9.29255181533289,11.21077684952323
adfe100,ChannelServer,grpc_global,17280,17319,grpc_global:c29,29,29,0.02547795,1.00095795,600.004630784,0.004246292227229825,0.16682503744880964,0.17107132967603947
adfe100,ChannelServer,grpcpp_sync,17280,17340,grpcpp_sync:c24,24,24,0.002279833,0.057917908,600.004630784,0.0003799692340742506,0.009652910165763418,0.010032879399837668
adfe100,ChannelServer,grpcpp_sync,17280,17622,grpcpp_sync:c25,25,25,0.002647856,0.098346554,600.004630784,0.0004413059273459542,0.016390965828296165,0.016832271755642118
adfe100,ChannelServer,http-server,17280,17357,http-server:c62,62,62,0.0,0.0,600.004630784,0.0,0.0,0.0
adfe100,ChannelServer,http-server,17280,17358,http-server:c63,63,63,9.4467e-05,0.002717878,600.004630784,1.57443784853067e-05,0.00045297617060866127,0.000468720549093968
adfe100,ChannelServer,http-server,17280,17359,http-server:c64,64,64,0.0,0.0,600.004630784,0.0,0.0,0.0
adfe100,ChannelServer,http-server,17280,17360,http-server:c65,65,65,0.0,0.0,600.004630784,0.0,0.0,0.0
adfe100,ChannelServer,jemalloc_bg,17280,17298,jemalloc_bg:c35,35,35,0.729250752,0.632214595,600.004630784,0.1215408539509303,0.10536828593704563,0.2269091398879759
adfe100,ChannelServer,jemalloc_bg,17280,17324,jemalloc_bg:c54,54,54,0.314668404,0.301483181,600.004630784,0.05244432923606547,0.05024680902980116,0.10269113826586662
adfe100,ChannelServer,jemalloc_bg,17280,17330,jemalloc_bg:c55,55,55,0.641400641,0.653940754,600.004630784,0.10689928178752714,0.10898928449027535,0.21588856627780248
adfe100,ChannelServer,jemalloc_bg,17280,17332,jemalloc_bg:c56,56,56,0.20665345,0.19932147,600.004630784,0.03444197584441555,0.03321998860901378,0.06766196445342934
adfe100,ChannelServer,lifeguard,17280,17339,lifeguard:c60,60,60,0.04381877,1.423960174,600.004630784,0.0073030719684186295,0.237324863999695,0.2446279359681136
adfe100,ChannelServer,task-runner,17280,17299,task-runner:c32,32,32,0.0,0.0,600.004630784,0.0,0.0,0.0
adfe100,ChannelServer,task-runner,17280,17301,task-runner:c33,33,33,3.371357327,5.869014169,600.004630784,0.5618885511924789,0.9781614787424581,1.540050029934937
adfe100,FCGIActionServer,bid-request,2089,2998,bid-request:c24,24,24,0.352696244,5.814667919,600.004630784,0.05878225365346716,0.9691038403157366,1.0278860939692036
adfe100,FCGIActionServer,bid-request,2089,2999,bid-request:c42,42,42,0.492525202,3.74646765,600.004630784,0.08208690012216051,0.6244064558476246,0.7064933559697851
adfe100,FCGIActionServer,bid-request,2089,3000,bid-request:c21,21,21,0.434294153,8.000253315,600.004630784,0.07238180019252963,1.3333652616224672,1.4057470618149968
adfe100,FCGIActionServer,bid-request,2089,3002,bid-request:c59,59,59,0.386786802,2.575873316,600.004630784,0.06446396946880267,0.4293089059386455,0.49377287540744824
adfe100,FCGIActionServer,bid-request,2089,3006,bid-request:c65,65,65,0.384198008,2.475274597,600.004630784,0.06403250713215082,0.41254258217401857,0.47657508930616943
adfe100,FCGIActionServer,bid-request,2089,3007,bid-request:c60,60,60,0.388658652,3.171381684,600.004630784,0.06477594206100654,0.528559534591607,0.5933354766526135
adfe100,FCGIActionServer,bid-request,2089,3008,bid-request:c54,54,54,0.428329017,5.712558525,600.004630784,0.07138761853226384,0.9520857393276528,1.0234733578599167
adfe100,FCGIActionServer,bid-request,2089,3009,bid-request:c5,5,5,0.507755052,5.432577368,600.004630784,0.08462518886504901,0.9054225733060571,0.9900477621711062
adfe100,FCGIActionServer,bid-request,2089,3014,bid-request:c69,69,69,0.346248056,1.510954339,600.004630784,0.05770756394789365,0.25182377959745106,0.3095313435453447
adfe100,FCGIActionServer,bid-request,2089,3016,bid-request:c58,58,58,0.397436073,4.45255862,600.004630784,0.06623883427044347,0.742087375922755,0.8083262101931985
adfe100,FCGIActionServer,bid-request,2089,3023,bid-request:c27,27,27,0.349159549,5.998983904,600.004630784,0.058192809036118336,0.9998229340599235,1.0580157430960417
adfe100,FCGIActionServer,bid-request,2089,3032,bid-request:c38,38,38,0.526451223,1.549283165,600.004630784,0.08774119331580975,0.2582118679610221,0.3459530612768318
adfe100,FCGIActionServer,bid-request,2089,3036,bid-request:c34,34,34,0.358462961,4.463611521,600.004630784,0.059743365735629744,0.7439295118718655,0.8036728776074953
adfe100,FCGIActionServer,bid-request,2089,3114,bid-request:c71,71,71,0.362585778,1.886731561,600.004630784,0.06043049659903873,0.3144528332280852,0.3748833298271239
adfe100,FCGIActionServer,bid-request,2089,3119,bid-request:c22,22,22,0.412116875,6.035958443,600.004630784,0.06868561571958283,1.0059853096655396,1.0746709253851225
adfe100,FCGIActionServer,bid-request,2089,3120,bid-request:c4,4,4,0.504382104,4.598674094,600.004630784,0.08406303520373598,0.7664397669716503,0.8505028021753862
adfe100,FCGIActionServer,bid-request,2089,3122,bid-request:c48,48,48,0.491315621,6.080991829,600.004630784,0.08188530484473415,1.0134908160715745,1.0953761209163086
adfe100,FCGIActionServer,bid-request,2089,3125,bid-request:c3,3,3,0.504753048,5.154642219,600.004630784,0.08412485872658368,0.8591004059859759,0.9432252647125596
adfe100,FCGIActionServer,bid-request,2089,3128,bid-request:c47,47,47,0.48554782,3.26179308,600.004630784,0.08092401209729927,0.543627984293714,0.6245519963910132
adfe100,FCGIActionServer,bid-request,2089,3131,bid-request:c33,33,33,0.360186959,4.74497174,600.004630784,0.06003069651801843,0.7908225197862142,0.8508532163042327
adfe100,FCGIActionServer,bid-request,2089,3132,bid-request:c8,8,8,0.524015283,5.417549676,600.004630784,0.08733520644920556,0.902917977303129,0.9902531837523345
adfe100,FCGIActionServer,bid-request,2089,3133,bid-request:c2,2,2,0.471450683,6.043835327,600.004630784,0.07857450739738056,1.0072981135333543,1.085872620930735
adfe100,FCGIActionServer,bid-request,2089,3135,bid-request:c52,52,52,0.483869893,2.702390269,600.004630784,0.08064435975564858,0.45039490203082333,0.5310392617864719
adfe100,FCGIActionServer,bid-request,2089,3157,bid-request:c49,49,49,0.48663876,4.125025427,600.004630784,0.0811058340273358,0.6874989317349115,0.7686047657622472
adfe100,FCGIActionServer,bid-request,2089,3160,bid-request:c31,31,31,0.359377227,4.054673834,600.004630784,0.059895742226258715,0.6757737567294996,0.7356694989557582
adfe100,FCGIActionServer,bid-request,2089,3162,bid-request:c15,15,15,0.474793628,6.352551753,600.004630784,0.07913166059728702,1.0587504540922286,1.1378821146895157
adfe100,FCGIActionServer,bid-request,2089,3163,bid-request:c39,39,39,0.506142186,3.291866141,600.004630784,0.08435637993970913,0.5486401224434987,0.6329965023832078
